,Filename,Filename_acid,Filename_base,STDBWDistance,BWDistance,Distance3,Energy3,Distance4,Energy4,Distance5,Energy5,Distance6,Energy6,Fraction_vsburied_volume_acid,Fraction_vsburied_volume_base,Fraction_sburied_volume_acid,Fraction_sburied_volume_base,Fraction_mburied_volume_acid,Fraction_mburied_volume_base,Fraction_lburied_volume_acid,Fraction_lburied_volume_base,Frustrated
23,10_45_opt.xyz,10_opt.xyz,45_opt.xyz,0.22846375836199784,1.5808572069122495,1.5808918812160848,-134.35070843122,1.5810419260860455,-134.35062304454,1.5806475608326258,-134.35070927081,4.015156827546456,-134.31012751731,0.9833419421487604,0.8002324380165289,0.9798639145722099,0.6622444328688631,0.9742532032181168,0.5275160160905841,0.9466606876630638,0.4066110696980991,0
24,10_47_opt.xyz,10_opt.xyz,47_opt.xyz,0.39805782454746236,1.5922228621334589,1.5927431187832866,-128.33280499753,1.5917004401921089,-128.3327986466,4.646294052490893,-128.30486821243,4.246600109683281,-128.30232031064,0.9833419421487604,0.8082063533057852,0.9798639145722099,0.6690975387420237,0.9742532032181168,0.5354402562574494,0.9466606876630638,0.41598723443906077,0
25,10_48_opt.xyz,10_opt.xyz,48_opt.xyz,0.23025795318783074,1.5952355468832773,1.5949548460747467,-128.50864900092,1.5953777412233818,-128.50865499007,1.595372372299286,-128.50866211522,4.079522219789602,-128.47849154268,0.9833419421487604,0.8087874483471075,0.9798639145722099,0.6698300559968746,0.9742532032181168,0.5362131257449344,0.9466606876630638,0.4166802553112188,0
26,10_49_opt.xyz,10_opt.xyz,49_opt.xyz,0.22978689025719304,1.589107163023119,1.589077364364368,-131.52427639705,1.58924312986632,-131.52417422281,1.5890030943130704,-131.52417615848,4.0704204221617415,-131.48652174237,0.9833419421487604,0.8062693698347108,0.9798639145722099,0.6669813777835656,0.9742532032181168,0.5337269070321812,0.9466606876630638,0.4148574357062989,0
27,10_50_opt.xyz,10_opt.xyz,50_opt.xyz,0.229114435108753,1.5872146238824905,1.587576735342061,-124.54289778861,1.5866729965441309,-124.54289671202,1.587396325804394,-124.54287479696,4.520076543846978,-124.51441958139,0.9833419421487604,0.80494576446281,0.9798639145722099,0.6664930329469984,0.9742532032181168,0.5326001936829559,0.9466606876630638,0.41148551062243754,0
28,10_51_opt.xyz,10_opt.xyz,51_opt.xyz,0.22919385013093999,1.5878892648903653,1.5880241272994198,-124.55080102965,1.5880596558333953,-124.55079370205,1.5875845537636784,-124.55080001816,4.399460262224317,-124.52223421185,0.9833419421487604,0.8045260847107438,0.9798639145722099,0.6648814949863263,0.9742532032181168,0.5304678188319428,0.9466606876630638,0.40882990122996643,0
29,11_1_opt.xyz,11_opt.xyz,1_opt.xyz,0.23845603667135853,1.6520608816904396,1.6521649236356193,-105.47242747897,1.652126112459226,-105.47242690188,1.6518909700107238,-105.47242128434,4.247658278618276,-105.43982700655,0.9930591425619835,0.0,0.9951165516343274,0.0,0.9935097586412396,0.0,0.9726635296310101,0.0,0
30,11_22_opt.xyz,11_opt.xyz,22_opt.xyz,1.6898853004070897,3.9303266822605085,1.8306331658187704,-127.01177651097,1.7185789965437228,-126.96386262298,3.456491048990806,-127.01442977787,3.935123723251028,-127.02271930936,0.9930591425619835,0.9208096590909091,0.9951165516343274,0.8531872639666623,0.9935097586412396,0.7201560637663885,0.9726635296310101,0.568358647036899,1
31,11_23_opt.xyz,11_opt.xyz,23_opt.xyz,2.110803805738915,4.890001533488755,1.7202184034623649,-136.47919279159,1.786697689405501,-136.50374136722,4.892026391288909,-136.53743742796,4.159121454574471,-136.52805309893,0.9930591425619835,0.9473463326446281,0.9951165516343274,0.9021356947519208,0.9935097586412396,0.7865576579261025,0.9726635296310101,0.6528780749161387,1
32,11_24_opt.xyz,11_opt.xyz,24_opt.xyz,1.2385724106483573,4.5332511110704585,1.8176094546645296,-145.98644173828,1.8023928181778848,-145.961432831,4.331396209720214,-146.0362426412,4.9751544741804645,-146.03499398645,0.9930591425619835,0.9499612603305785,0.9951165516343274,0.918511524938143,0.9935097586412396,0.841030989272944,0.9726635296310101,0.7388767238166232,1
33,11_25_opt.xyz,11_opt.xyz,25_opt.xyz,1.2624128907692675,4.981463241309999,1.709684932746318,-114.88150144651,1.849078438534196,-114.91404566682,4.919086675463754,-114.9424614537,5.031862466080233,-114.94280123332,0.9930591425619835,0.9236505681818182,0.9951165516343274,0.8233331162911838,0.9935097586412396,0.652096990464839,0.9726635296310101,0.4512497670518077,1
34,11_26_opt.xyz,11_opt.xyz,26_opt.xyz,1.2585786320869907,5.312855218204991,5.447605811785677,-124.43849611873,1.7980715574648414,-124.32593314119,5.13256209425279,-124.43794821134,5.2318048492688565,-124.43457300749,0.9930591425619835,0.9578060433884298,0.9951165516343274,0.9019891913009507,0.9935097586412396,0.7822184147794994,0.9726635296310101,0.6264326313827805,1
35,11_27_opt.xyz,11_opt.xyz,27_opt.xyz,2.8602918901506937,6.8856203748638,6.303891011399672,-133.93401506381,6.907181025722774,-133.93958952797,5.693743684991693,-133.92136629679,6.038543652926299,-133.93103347968,0.9930591425619835,0.9805010330578512,0.9951165516343274,0.9515887485349654,0.9935097586412396,0.884423420738975,0.9726635296310101,0.7786235091315692,1
36,11_29_opt.xyz,11_opt.xyz,29_opt.xyz,0.41630057930236636,2.846250025258711,1.7593606662979604,-120.24856258887,1.7223973864347866,-120.25667090998,4.202649131098843,-120.25499032916,4.3585749836374,-120.25534489139,0.9930591425619835,0.7634297520661157,0.9951165516343274,0.6488312280244823,0.9935097586412396,0.5380661501787842,0.9726635296310101,0.42819954342154304,1
37,11_30_opt.xyz,11_opt.xyz,30_opt.xyz,0.9395953936010605,4.174180275969046,1.7308394013531971,-120.51830828448,1.7308443737697898,-120.51831568504,4.510173667672716,-120.52148481326,4.505277188595625,-120.52148599006,0.9930591425619835,0.7592652376033058,0.9951165516343274,0.646747623388462,0.9935097586412396,0.534388036352801,0.9726635296310101,0.4230979780096906,1
38,11_32_opt.xyz,11_opt.xyz,32_opt.xyz,0.34292609971200155,1.8519012960910384,1.6867324553013567,-117.09487344417,1.6955346134365386,-117.09432921321,4.299594726555859,-117.09031286189,4.3054274596388735,-117.09026813146,0.9930591425619835,0.7483212809917356,0.9951165516343274,0.6289393150149759,0.9935097586412396,0.5143865464839095,0.9726635296310101,0.40057771151695865,0
39,11_33_opt.xyz,11_opt.xyz,33_opt.xyz,1.4098806526328302,5.152195643760425,1.7742066729014907,-129.70650441742,5.142691556309081,-129.77318546224,5.1227612726769935,-129.77177459679,5.636686874350491,-129.76823225224,0.9930591425619835,0.7910640495867769,0.9951165516343274,0.738409949212137,0.9935097586412396,0.688859505363528,0.9726635296310101,0.6273877189713007,1
40,11_34_opt.xyz,11_opt.xyz,34_opt.xyz,1.1236550514612538,4.4946850933900695,1.7544162181340752,-121.12677975681,1.7731585203583071,-121.13315916584,4.510265912131131,-121.14334286462,4.4832401104676896,-121.14326965802,0.9930591425619835,0.7600723140495868,0.9951165516343274,0.6443221773668446,0.9935097586412396,0.5327119338498212,0.9726635296310101,0.42165369921729406,1
41,11_35_opt.xyz,11_opt.xyz,35_opt.xyz,1.302810177582186,4.957675401596897,1.860291603807512,-125.81563474618,2.0193563151211773,-125.80950969071,4.9196374999725165,-125.84750470881,5.019544139289147,-125.84672952987,0.9930591425619835,0.9129325929752066,0.9951165516343274,0.8239842427399401,0.9935097586412396,0.7018772348033373,0.9726635296310101,0.5628028326500186,1
42,11_36_opt.xyz,11_opt.xyz,36_opt.xyz,0.19005850288858178,1.6633814333987176,1.6052676961100163,-117.18218125175,1.604879482523187,-117.18217795613,1.6064530361304,-117.18215990554,4.827130155623273,-117.17754680792,0.9930591425619835,0.8081095041322314,0.9951165516343274,0.6688370881625212,0.9935097586412396,0.5351329707985697,0.9726635296310101,0.4155271617592248,0
43,11_37_opt.xyz,11_opt.xyz,37_opt.xyz,2.1304366449115535,4.932899603818924,1.6825020197433476,-123.49676988395,1.680406867806988,-123.49678368925,4.932360408360514,-123.52638016966,5.224091609626063,-123.51635392813,0.9930591425619835,0.8265754132231405,0.9951165516343274,0.7221969006381039,0.9935097586412396,0.6278214392133492,0.9726635296310101,0.5403058609765188,1
44,11_38_opt.xyz,11_opt.xyz,38_opt.xyz,0.38773637136580075,1.7422888337628428,1.6802723334582117,-120.34440397511,1.6783016733523826,-120.34457626163,4.691271911182033,-120.33659238157,4.552582440299468,-120.33925981264,0.9930591425619835,0.5076510847107438,0.9951165516343274,0.4188208100013023,0.9935097586412396,0.3503054231227652,0.9726635296310101,0.2930371785314946,0
45,11_39_opt.xyz,11_opt.xyz,39_opt.xyz,1.1576300015406966,5.640466564853671,1.809089752719099,-126.58282653408,6.004308465477639,-126.67131558666,5.4863382095665205,-126.67229106712,5.463565134524831,-126.67004249809,0.9930591425619835,0.9617768595041323,0.9951165516343274,0.8692049746060685,0.9935097586412396,0.7265811233611442,0.9726635296310101,0.5561638091688409,1
